NBI DATA - Western Washington,,,,,,,ADT parameter,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"move to left, filter by < than",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHECK FILTERS IN THESE CELLS,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
0,0,,0003404A,7/105,46.85597222,-122.3029444,0,1,1,53,0003404A0000000,1,3,1,7,0,3,53,0,'MASHEL RIVER',,'SR 7','1.0 N JCT SR 161',99.99,44.917,1,,0,46512150,122181060,10,3,1,1,6,1948,2,0,1692,2019,3,8.5,0,0,0,1,1,0,0,5,0,0,0,A,1,5,3,2,0,0,3,0,7.3,32.9,59.4,0,0,7.3,7.8,99.99,N,0,N,0,0,6,6,7,6,N,1,49.9,1,29.9,6,4,N,5,8,3,35,1,59.4,421,24,N  ,N  ,N  ,,,,1170,234,2340,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,11,1,,Y,4,2450,2039,,N,53,F,6,463.32
0,0,,0003418A,#N/A,47.26472222,-122.5460278,0,1,1,53,0003418A0000000,1,3,1,16,0,3,53,0,'TACOMA NARROWS',,'NB SR 16','5.1 N JCT I-5',24.99,11.716,1,,0,47155300,122324570,2,3,1,1,12,1949,4,0,43392,2019,0,12.2,0,0,0,1,0,0,0,2,1,60.4,783.3,A,1,7,4,13,0,20,3,10,14.1,853.4,1822.1,0.9,0.9,14.1,16.4,24.99,R,99.99,R,6.1,0,6,5,6,8,N,8,20.4,8,15.6,3,2,8,5,8,8,35,1,1822.1,721,24,Y24,Y60,Y24,721,218,721,50215,10043,100430,2014,,,               ,3,R,1,,1,0,0,1,6,0,0,5,1,2,Y,5,62831,2039,,N,53,F,5,29882.44
0,0,,0003458A,3/8,47.24808333,-123.0454167,0,1,1,53,0003458A0000000,1,3,1,3,0,3,45,0,'JOHNS CREEK',,'SR 3','6.6 N JCT US 101',99.99,10.606,1,,0,47145310,123024350,14,3,1,1,14,1948,2,0,14799,2019,5,9.1,0,0,0,1,1,1,0,5,0,0,0,A,1,5,2,1,0,0,4,0,11,6.7,25,0,0,11,12.2,99.99,N,0,N,0,0,6,6,7,5,N,8,43.7,8,33.7,6,4,N,5,8,8,35,1,25,521,24,N  ,N  ,N  ,,,,525,105,1050,2014,,,               ,0,N,2,,1,0,0,1,1,0,0,6,1,,Y,3,19949,2039,,N,53,F,6,305
0,0,,0003470A,7/119,47.13705556,-122.4346111,1,1,1,53,0003470A0000000,1,3,1,7,0,3,53,0,'CLOVER CREEK',,'SR 7','3.7 N JCT SR 507',99.99,82.221,1,,0,47081340,122260460,2,3,1,1,14,1929,5,0,31717,2019,0,21.9,0,45,0,0,0,0,0,5,0,0,0,A,1,5,1,1,0,0,1,0,21.3,6.4,7,0.3,0.3,21.3,22.4,99.99,N,0,N,0,0,7,6,6,8,N,1,68.9,1,41.7,6,5,N,5,8,8,35,1,7,321,24,N  ,N  ,N  ,,,,340,68,681,2014,,,               ,0,N,2,,1,0,1948,1,6,0,0,6,1,,Y,5,45926,2039,,N,53,F,6,156.8
1,1,,0003478A,20/229,48.52125,-122.1991389,0,1,1,53,0003478A0000000,1,3,1,20,0,1,57,0,'HANSEN CREEK',,'SR 20','1.5 E JCT SR 9',99.99,108.679,0,,,48311650,122115690,13,3,1,1,16,1949,2,0,10122,2019,5,11.6,0,0,0,1,1,1,1,5,0,0,0,A,1,5,2,1,0,0,3,0,11,5.5,15.2,0.1,0.1,11,12.2,99.99,N,0,N,0,0,8,7,7,8,N,1,69.8,1,40.8,7,4,N,5,8,8,35,1,15.2,920,48,N  ,N  ,N  ,,,,400,80,800,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,9,1,,Y,8,14899,2039,,N,53,G,7,185.44
0,0,,0003478B,20/232,48.53113889,-122.1503333,0,1,1,53,0003478B0000000,1,3,1,20,0,1,57,0,'COAL CREEK',,'SR 20','3.9 E JCT SR 9',99.99,112.541,1,,0,48315210,122090120,5,3,1,1,6,1948,2,0,9574,2019,5,12.8,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,4,0,0,1,0,11,11.3,11.6,0.1,0.1,11,12.2,99.99,N,0,N,0,0,7,7,7,7,N,1,81.6,1,48.1,7,4,N,5,8,8,35,1,11.6,820,24,N  ,N  ,N  ,,,,334,67,669,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,9,1,,Y,4,14092,2039,,N,53,G,7,141.52
1,1,,0003478C,20/235,48.53104444,-122.1509389,0,1,1,53,0003478C0000000,1,3,1,20,0,1,57,0,'WISEMAN CREEK',,'SR 20','4.5 E JCT SR 9',99.99,113.523,1,,0,48315176,122090338,5,3,1,1,6,1948,2,0,9574,2019,5,11.6,0,0,0,1,1,1,1,5,0,0,0,A,1,5,2,4,0,0,3,0,11,21.3,31.1,0.1,0.1,11,12.2,99.99,N,0,N,0,0,7,7,7,7,N,1,83.4,1,49,7,4,N,5,8,8,35,1,31.1,618,48,N  ,N  ,N  ,,,,816,163,1632,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,9,1,,Y,5,14092,2039,,N,53,G,7,379.42
0,0,,0003486A,542/13,48.84355556,-122.2834167,0,1,1,53,0003486A0000000,1,3,1,542,0,1,73,0,'OVERFLOW CHANNEL NO 2',,'SR 542','0.2 E JCT SR 9',99.99,16.464,1,,0,48503680,122170030,3,3,1,1,6,1948,2,0,9987,2019,5,12.2,0,0,0,1,1,1,0,5,0,0,0,A,1,5,2,1,0,0,4,0,11,4.6,20.7,0,0,11,12.2,99.99,N,0,N,0,0,3,7,7,8,N,1,57.1,1,33.6,7,4,N,5,8,8,35,1,20.7,421,24,N  ,N  ,N  ,,,,571,114,1142,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,8,1,,Y,5,14341,2039,,N,53,P,3,252.54
0,0,,0003486B,542/14,48.8435,-122.2755,0,1,1,53,0003486B0000000,1,3,1,542,0,1,73,0,'SMITH CREEK',,'SR 542','0.6 E JCT SR 9',99.99,17.043,1,,0,48503660,122163180,3,3,1,1,6,1948,2,0,9190,2019,5,11.6,0,0,0,1,1,1,0,5,0,0,0,A,1,5,2,1,0,0,3,0,11,7.3,19.5,0,0,11,11.9,99.99,N,0,N,0,0,7,7,7,8,N,1,55.3,1,33.6,7,4,N,5,8,8,35,1,19.5,920,48,N  ,N  ,N  ,,,,512,102,1024,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,8,1,,Y,5,13196,2039,,N,53,G,7,232.05
0,0,,0003486C,542/16,48.84152778,-122.2608333,0,1,1,53,0003486C0000000,1,3,1,542,0,1,73,0,'SMITH CREEK',,'SR 542','1.3 E JCT SR 9',99.99,18.169,1,,0,48502950,122153900,6,3,1,1,6,1948,2,0,9190,2019,5,11.6,0,0,0,1,1,1,0,5,0,0,0,A,1,5,1,4,0,0,3,0,11,13.4,19.5,0,0,11,11.9,99.99,N,0,N,0,0,8,7,7,8,N,1,74.4,1,44.4,7,4,N,5,8,8,35,1,19.5,920,48,N  ,N  ,N  ,,,,512,102,1024,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,8,1,,Y,5,13196,2039,,N,53,G,7,232.05
1,0,,0003486D,542/17,48.839825,-122.2572611,0,1,1,53,0003486D0000000,1,3,1,542,0,1,73,0,'MCCAULEY CR',,'SR 542','1.5 E JCT SR 9',99.99,18.491,1,,0,48502337,122152614,6,3,1,1,6,1948,2,0,9190,2019,5,12.8,0,0,0,1,1,1,0,5,0,0,0,A,1,5,2,1,0,0,3,0,11,4.6,15.2,0,0,11,12.2,99.99,N,0,N,0,0,7,7,7,8,N,1,64.4,1,38.1,7,4,N,5,8,8,35,1,15.2,421,48,N  ,N  ,N  ,,,,440,88,880,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,8,1,,Y,8,13196,2039,,N,53,G,7,185.44
1,0,,3486,#N/A,48.83844444,-122.2543611,0,1,1,53,3.49E+03,1,3,1,542,0,1,73,0,'MCCAULEY CREEK',,'SR 542','1.7 E JCT SR 9',99.99,18.765,1,,0,48501840,122151570,6,3,1,1,6,1948,2,0,8393,2019,5,12.8,0,0,0,1,1,1,0,5,0,0,0,A,1,5,2,1,0,0,3,0,10.8,5.5,15.2,0,0,10.8,12,99.99,N,0,N,0,0,7,7,7,8,N,1,63.5,1,38.1,7,4,N,5,8,8,35,1,15.2,920,48,N  ,N  ,N  ,,,,440,88,880,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,8,1,,Y,8,12052,2039,,N,53,G,7,182.4
0,0,,0003523A,410/101,47.17383333,-122.0234167,0,1,1,53,0003523A0000000,1,3,1,410,0,1,53,0,'WHITE RIVER',,'SR 410','1.3 E JCT SR 165',4.72,35.389,1,,0,47102580,122012430,61,3,1,1,14,1949,2,0,22422,2019,5,13.4,0,0,0,1,0,1,0,5,0,0,0,A,1,5,3,10,1,4,1,3,9.8,61,89,0,0,9.8,10.7,4.34,N,0,N,0,0,6,6,7,8,N,1,55.3,1,32.7,6,4,N,5,8,8,35,1,89,421,24,Y24,N  ,N  ,421,,,2686,537,5373,2014,,,               ,0,N,2,,1,0,0,1,5,0,0,5,1,,Y,7,32467,2039,,N,53,F,6,952.3
0,0,,0003573A,305/10,47.71152778,-122.563825,0,1,1,53,0003573A0000000,1,3,1,305,0,3,35,0,'AGATE PASSAGE',,'SR 305','6.8 N BAINBRIDGE F/T',4.57,10.976,1,,0,47424150,122334977,159,3,1,1,14,1950,2,1,22487,2019,5,11.6,0,0,0,0,0,1,0,1,1,22.9,91.4,A,5,6,3,10,2,4,3,4,7.9,164.6,374.6,0.9,0.9,7.9,10.4,4.55,H,10.92,H,0.9,0,6,5,6,8,N,1,39.9,1,23.6,5,3,3,5,8,8,35,1,374.6,221,24,Y24,Y60,N  ,221,1021,,9832,1966,19664,2014,,,               ,0,N,2,,1,0,0,1,1,0,0,5,1,1,Y,3,29862,2039,,N,53,F,5,3895.84
0,0,,0003581A,101/110,46.96,-123.7762222,0,1,1,53,0003581A0000000,1,2,1,101,0,3,27,0,'MILL CREEK',,'US 101','4.4 N JCT SR 107',99.99,131.097,1,,0,46573600,123463440,2,3,1,1,14,1949,2,0,7709,2019,5,14.6,0,0,0,0,0,0,0,5,0,0,0,A,5,5,2,1,0,0,3,0,14.6,6.7,18.3,1.5,1.5,14.6,18.6,99.99,N,0,N,0,0,7,6,4,7,N,8,42.1,8,32.7,4,9,N,5,8,8,35,1,18.3,920,24,N  ,N  ,N  ,,,,600,120,1200,2014,,,               ,2,N,2,,1,0,0,1,6,0,0,15,1,,Y,8,8819,2039,,N,53,P,4,340.38
0,0,,0003592A,410/48,47.17125,-122.0248333,0,1,1,53,0003592A0000000,1,3,1,410,0,3,53,0,'PSPL CO CANAL',,'SR 410','1.1 E JCT SR 165',99.99,35.084,1,,0,47101650,122012940,61,3,1,1,14,1949,2,0,22422,2019,5,13.4,0,35,0,1,1,1,0,5,0,0,0,A,5,5,3,3,0,0,1,0,8.5,33.5,35.4,0.8,0.8,8.5,11.2,99.99,N,0,N,0,0,6,6,6,8,N,1,74.4,1,44.4,6,2,N,5,8,8,35,1,35.4,220,24,Y24,N  ,N  ,220,,,1067,213,2134,2014,,,               ,0,N,2,,1,0,0,1,1,0,0,5,1,,Y,8,32467,2039,,N,53,F,6,396.48
0,0,,0003595A,101/138,47.09197222,-123.9046389,0,1,1,53,0003595A0000000,1,2,1,101,0,3,27,0,'WEST FORK HOQUIAM RIVER',,'US 101','9.2 N JCT SR 109',99.99,155.607,1,,0,47053110,123541670,51,3,1,1,2,1949,2,0,2137,2019,5,11.6,0,0,0,1,0,1,0,5,0,0,0,A,5,5,2,4,0,0,3,0,7.9,13.7,36,0.8,0.8,7.9,10.3,99.99,N,0,N,0,0,7,7,6,6,N,1,74.4,1,44.4,6,3,N,5,8,8,35,1,36,1020,24,N  ,N  ,N  ,,,,944,189,1888,2014,,,               ,0,N,2,,1,0,0,1,6,2,0,24,1,,Y,5,2444,2039,,N,53,F,6,370.8
0,0,,0003606A,#N/A,45.60801667,-122.3442333,0,1,1,53,0003606A0000000,1,4,1,14000,0,4,11,99011,'LITTLE WASHOUGAL RIVER',,'WASHOUGAL RIVER RD','2.3 E JCT SR 14',99.99,0.001,0,,,45362886,122203924,3,3,2,2,7,1949,2,0,5175,2017,3,7.3,0,35,0,1,1,1,1,5,0,0,0,A,1,5,2,4,0,0,3,0,8.5,18.3,43.9,0,0,7.9,9.1,99.99,N,0,N,0,0,7,7,7,8,N,8,26.2,8,20.1,5,2,N,5,8,8,31,1,46.9,721,24,N  ,N  ,N  ,,,,2341,468,4682,2014,,,               ,0,N,2,,0,0,0,1,6,1,0,6,1,,Y,5,11449,2039,,N,53,G,7,399.49
0,0,,0003636A,12/289,46.66246667,-121.4810333,0,1,1,53,0003636A0000000,1,2,1,12,0,5,41,0,'GULCH',,'US 12','6.2 E JCT SR 123',99.99,233.178,1,,0,46394488,121285172,159,3,1,1,2,1949,2,0,1590,2019,3,10.4,0,99,0,1,0,0,1,5,N,0,0,A,1,0,3,2,0,0,3,0,7.9,26.5,67.4,0,0,7.9,9.1,99.99,N,0,N,0,0,7,6,7,N,N,1,29,1,17.2,4,4,N,5,N,8,35,1,67.4,920,24,N  ,N  ,N  ,,,,1591,318,3182,2014,,,               ,0,N,2,,1,2,0,1,6,2,0,33,1,,Y,N,2047,2039,,N,53,F,6,613.34
0,0,,0003639A,16/130E,47.33025,-122.5987778,0,1,1,53,0003639A0000000,1,3,1,16,0,3,53,0,'ROSEDALE RD',,'SR 16','12.8 N JCT I-5',99.99,20.535,1,,0,47194890,122355560,2,3,1,1,12,1949,2,2,39307,2019,5,11.6,0,0,0,1,1,1,1,5,N,0,0,A,5,1,2,4,0,0,3,0,8.5,21.3,49.7,0.6,0.6,8.5,11,99.99,H,6.17,H,2.9,0,6,6,7,N,N,8,31.4,8,24.3,6,2,5,5,N,8,35,1,49.7,821,24,N  ,N  ,N  ,,,,1304,261,2608,2014,,,               ,3,R,1,,1,0,0,1,6,0,0,5,1,,Y,N,56916,2039,,N,53,F,6,546.7
1,0,,0003673A,101/326,48.07230556,-123.7738889,0,1,1,53,0003673A0000000,1,2,1,101,0,3,9,0,'LAKE CRESCENT',,'US 101','25.7 N JCT SR 113',99.99,369.361,1,,0,48042030,123462600,80,3,1,1,2,1949,2,0,2456,2019,5,9.1,0,0,0,0,0,1,1,5,0,0,0,A,1,5,1,3,1,1,1,2,9.1,17.1,25.9,0.5,0,8.8,8.4,99.99,N,0,N,0,0,7,7,6,8,N,8,23.3,8,18.1,5,4,N,5,8,8,35,1,25.9,918,48,N  ,N  ,N  ,,,,544,109,1088,2014,,,               ,0,N,2,,1,0,0,1,6,0,0,19,1,,Y,8,3074,2039,,N,53,F,6,217.56
1,1,,0003673B,101/327,48.07283333,-123.7734722,0,1,1,53,0003673B0000000,1,2,1,101,0,3,9,0,'LAKE CRESCENT',,'US 101','25.8 N JCT SR 113',99.99,369.425,1,,0,48042220,123462450,80,3,1,1,2,1949,2,0,2456,2019,5,9.1,0,0,0,0,0,1,1,5,0,0,0,A,1,5,1,3,0,0,3,0,9.1,17.1,34.1,0.5,0,8.8,8.4,99.99,N,0,N,0,0,7,7,7,7,N,1,39,1,23.6,6,4,N,5,8,8,35,1,34.1,918,48,N  ,N  ,N  ,,,,717,143,1434,2014,,,               ,0,N,2,,1,0,0,1,6,0,0,19,1,,Y,8,3074,2039,,N,53,G,7,286.44
1,1,,0003677A,534/2,48.341,-122.3245278,0,1,0,53,0003677A0000000,1,3,1,534,0,1,57,0,'HILL DITCH',,'SR 534','0.5 E JCT I-5',99.99,0.772,0,,,48202760,122192830,13,3,1,1,7,1949,2,0,3853,2019,3,8.5,0,35,0,1,0,0,0,5,0,0,0,A,1,5,2,1,0,0,4,0,8,5.8,25.3,0,0,7.9,9.1,99.99,N,0,N,0,0,8,7,7,8,N,8,35.3,8,27.2,6,3,N,5,8,8,35,1,25.3,421,24,N  ,N  ,N  ,,,,498,100,996,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,8,0,,Y,5,5671,2039,,N,53,G,7,230.23
1,1,,0003695A,44979,47.85727778,-121.9614444,0,1,1,53,0003695A0000000,1,2,1,2,0,1,61,0,'WOODS CREEK',,'US 2','0.4 E JCT SR 203',99.99,24.736,1,,0,47512620,121574120,3,3,1,1,14,1950,2,0,20905,2019,5,11.6,0,0,0,1,0,0,0,5,0,0,0,A,1,5,2,4,0,0,3,0,7.9,17.1,43,0.8,0.8,7.9,10.7,99.99,N,0,N,0,0,5,6,6,7,N,1,38.1,1,22.7,5,2,N,5,8,8,35,1,43,821,24,N  ,N  ,N  ,,,,1128,226,2256,2014,,,               ,0,N,2,,1,0,0,1,6,2,0,6,1,,Y,8,30270,2039,,N,53,F,5,460.1
0,0,,0003703A,169/20,47.41841667,-122.0463056,0,1,1,53,0003703A0000000,1,3,1,169,0,1,33,0,'CEDAR RIVER',,'SR 169','1.9 N JCT SR 18',99.99,25.75,1,,0,47250630,122024670,10,3,1,1,2,1950,2,0,23098,2019,5,10.4,0,0,0,1,1,1,0,5,0,0,0,A,5,5,3,3,0,0,1,0,8.5,38.1,39.6,1.2,1.2,8.5,12.2,99.99,N,0,N,0,0,7,6,7,5,N,1,43.5,1,25.4,6,2,N,5,8,8,35,1,39.6,421,24,Y24,N  ,N  ,421,,,936,187,1872,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,4,1,,Y,5,32614,2039,,N,53,F,6,483.12
0,0,,0003717A,4/230,46.14728889,-122.9179722,0,1,1,53,0003717A0000000,1,3,1,4,0,4,15,0,'COWLITZ R / RR / SR 411',,'SR 4','0.1 E JCT SR 411 SP',5.36,98.299,1,,0,46085024,122550470,10,3,1,1,14,1951,4,8,18155,2019,5,17.1,2,0,0,0,1,1,1,2,1,19.5,73.2,P,5,8,4,10,2,4,3,20,17.1,78,521.2,1.5,1.5,17.1,17.7,4.6,H,4.09,H,0.5,0,6,5,5,8,N,1,33.6,1,20,5,5,3,3,8,8,35,1,521.2,920,24,Y24,Y60,N  ,920,920,,19836,3967,39672,2014,,,               ,0,N,2,,1,0,0,1,1,0,0,2,1,1,Y,5,24255,2039,,N,53,F,5,9225.24
0,0,,0003731A,20/256,48.53263611,-121.8844806,0,1,1,53,0003731A0000000,1,3,1,20,0,1,57,0,'GRANDY CREEK',,'SR 20','16.4 E JCT SR 9',99.99,132.658,1,,0,48315749,121530413,10,3,1,1,6,1950,2,0,5438,2019,5,11,0,0,0,1,0,1,0,5,0,0,0,A,5,5,2,1,0,0,8,0,7.9,6.7,49.4,0.8,0.8,7.9,10.4,99.99,N,0,N,0,0,7,7,7,5,N,1,68,1,39.9,7,2,N,5,8,8,35,1,49.4,320,24,N  ,N  ,N  ,,,,1231,246,2462,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,8,1,,Y,5,8004,2039,,N,53,G,7,513.76
1,0,,0003732A,45239,48.63011111,-122.4679722,0,1,0,53,0003732A0000000,1,3,1,11,0,1,57,0,'HALF BR',,'SR 11','12.8 N JCT I-5',99.99,20.584,0,,,48374840,122280470,47,3,1,1,7,1950,2,0,2425,2019,3,5.8,0,0,0,0,0,0,0,5,N,0,0,A,1,0,2,2,0,0,3,0,5.8,7.9,23.2,0,0,5.8,3,99.99,N,0,N,0,0,8,6,7,N,N,8,28.8,8,22.4,5,2,N,5,N,6,35,1,23.2,521,24,N  ,N  ,N  ,,,,319,64,638,2014,,,               ,0,N,1,,0,0,0,1,6,0,0,4,0,,Y,N,3569,2039,,N,53,F,6,69.6
0,0,,0003760A,#N/A,46.09911111,-122.9669167,0,1,1,53,0003760A0000000,1,3,1,433,0,4,15,0,'COLUMBIA R @ LONGVIEW',,'SR 433','OREGON LINE',5.56,0.001,1,,0,46055680,122580090,159,3,1,1,14,1929,2,6,22837,2019,4,9.1,0,0,1,1,1,1,1,1,1,60.4,333.5,A,1,8,4,10,4,2,3,31,10.4,365.8,1669.7,0,0,10.4,11,4.95,H,15.75,H,3,0,6,6,5,8,N,1,35.4,1,20.9,5,4,6,5,8,8,35,1,1669.7,220,24,Y24,Y60,Y24,220,920,220,35059,7012,70118,2014,410,50,02046 02WC04892,2,N,2,,1,0,2003,2,3,0,1,11,1,5,Y,3,30510,2039,,N,53,F,5,18366.7
0,0,,0003761A,20/277,48.55994444,-121.4151111,0,1,1,53,0003761A0000000,1,3,1,20,0,1,57,0,'DIOBSUD CREEK',,'SR 20','11.1 E JCT SR 530',99.99,174.726,1,,0,48333580,121245440,159,3,1,1,6,1950,2,0,1935,2019,3,10.4,0,0,0,1,0,1,1,5,0,0,0,A,1,5,2,4,0,0,3,0,11,21.3,31.1,0,0,11,11.9,99.99,N,0,N,0,0,8,7,7,6,N,8,19.8,8,15.2,4,6,N,5,8,8,35,1,31.1,321,24,N  ,N  ,N  ,,,,734,147,1469,2014,,,               ,0,N,2,,0,2,1981,1,6,0,0,7,1,,Y,3,2848,2039,,N,53,G,7,370.09
0,0,,0003764A,101/407,47.48472222,-123.0783333,0,1,1,53,0003764A0000000,1,2,1,101,0,3,45,0,'EAGLE CR',,'US 101','10.1 S JEFFERSON CO',99.99,522.506,1,,0,47290500,123044200,61,3,1,1,2,1950,2,0,2997,2019,3,11.6,0,0,0,1,1,1,1,5,0,0,0,A,1,5,2,1,0,0,4,0,11,6.7,25,0,0,11,12.2,99.99,N,0,N,0,0,7,7,7,7,N,8,35,8,26.9,6,5,N,5,8,8,35,1,25,721,24,N  ,N  ,N  ,,,,656,131,1312,2014,,,               ,0,N,2,,1,0,0,1,6,2,0,11,1,,Y,5,4039,2039,,N,53,G,7,305
0,0,,0003765A,101/149,47.22731944,-123.96475,0,1,1,53,0003765A0000000,1,2,1,101,0,3,27,0,'HUMPTULIPS OVERFLOW',,'US 101','21.3 N JCT SR 109',99.99,175.161,1,,0,47133835,123575310,51,3,1,1,2,1950,2,0,2217,2019,5,10.4,0,0,0,1,0,1,1,5,0,0,0,A,1,5,2,4,0,0,3,0,7.9,19.8,47.5,0.8,0.8,7.9,10.4,99.99,N,0,N,0,0,6,7,7,7,N,1,78,1,46.3,7,3,N,5,8,8,35,1,47.5,621,24,N  ,N  ,N  ,,,,1123,225,2246,2014,,,               ,0,N,2,,1,0,0,1,6,2,0,14,1,,Y,3,2536,2039,,N,53,F,6,494
0,0,,0003765B,101/150,47.229475,-123.96225,0,1,1,53,0003765B0000000,1,2,1,101,0,3,27,0,'HUMPTULIPS RIVER',,'US 101','21.5 N JCT SR 109',4.52,175.418,1,,0,47134611,123574410,51,3,1,1,2,1950,2,0,2217,2019,5,11.6,0,0,0,1,0,1,0,5,1,4.9,71.6,A,5,5,3,10,3,2,1,3,7.9,79.2,137.2,0.8,0.8,7.9,9.9,4.52,N,0,N,0,0,6,5,7,8,N,1,59,1,35.4,5,3,N,5,8,8,35,1,137.2,620,24,Y24,N  ,N  ,620,,,3600,720,7200,2014,,,               ,0,N,2,,1,0,0,1,6,2,0,14,1,5,Y,7,2536,2039,,N,53,F,5,1358.28
0,0,,0003775A,45097,46.54802778,-123.4510278,0,1,1,53,0003775A0000000,1,3,1,6,0,4,49,0,'WILLAPA HILLS TRAIL',,'SR 6','19.9 E JCT US 101',99.99,32.026,1,,0,46325290,123270370,159,3,1,1,6,1950,2,0,1371,2019,5,10.4,0,10,0,1,1,1,1,5,N,0,0,A,5,3,2,4,0,0,3,0,7.9,17.4,43.6,0.8,0.8,7.9,10.2,99.99,N,0,N,0,0,8,7,7,N,N,1,45.4,1,27.2,6,4,N,5,N,8,35,1,43.6,621,24,N  ,N  ,N  ,,,,1030,206,2059,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,17,1,,Y,N,1667,2039,,N,53,G,7,444.72
0,0,,0003802A,539/859E,48.915,-122.485,0,1,1,53,0003802A0000000,1,3,1,539,0,1,73,0,'NOOKSACK R OVERFLOW',,'NB SR 539','1.7 N JCT SR 544',99.99,14.725,1,,0,48545400,122290600,14,3,1,1,14,1950,2,0,8474,2019,5,12.2,0,0,0,1,1,1,1,5,0,0,0,A,5,5,2,1,0,0,23,0,8.5,6.7,133.5,0.8,0.8,8.5,11,99.99,N,0,N,0,0,7,7,7,8,N,8,17.5,8,13.3,3,3,N,5,8,8,35,1,133.5,518,48,N  ,N  ,N  ,,,,3679,736,7358,2014,,,               ,0,R,1,,1,0,0,1,6,2,0,6,1,,Y,8,12168,2039,,N,53,G,7,1468.5
0,0,,0003802B,539/860E,48.91926944,-122.4855361,0,1,1,53,0003802B0000000,1,3,1,539,0,1,73,0,'NOOKSACK R',,'NB SR 539','2.0 N JCT SR 544',4.52,15.176,1,,0,48550937,122290793,2,3,1,1,14,1950,2,0,8474,2019,5,12.2,0,0,0,0,1,1,0,2,1,2.4,62.5,A,5,5,3,10,1,4,1,7,8.5,103.6,175.6,0.8,0.8,8.5,10.4,4.47,N,0,N,0,0,7,6,7,7,N,1,33.6,1,20,5,3,N,5,8,8,35,1,175.6,521,24,Y24,N  ,N  ,521,,,4838,968,9677,2014,,,               ,0,R,1,,1,0,0,1,6,2,0,6,1,1,Y,5,12168,2039,,N,53,F,6,1826.24
0,0,,0003802C,539/861E,48.92911111,-122.4854722,0,1,1,53,0003802C0000000,1,3,1,539,0,1,73,0,'NOOKSACK R OVERFLOW',,'NB SR 539','2.6 N JCT SR 544',99.99,16.27,1,,0,48554480,122290770,14,3,1,1,14,1950,2,0,8474,2019,5,12.2,0,0,0,1,1,1,0,5,0,0,0,A,5,5,2,1,0,0,17,0,8.5,6.7,98.5,0.8,0.8,8.5,11,99.99,N,0,N,0,0,7,7,6,6,N,8,15.9,8,12.3,3,3,N,5,6,8,35,1,98.5,518,48,N  ,N  ,N  ,,,,2713,543,5426,2014,,,               ,0,R,1,,1,0,0,1,6,2,0,6,1,,Y,8,12168,2039,,N,53,F,6,1083.5
0,0,,0003820A,112/10,48.27333333,-124.355,0,1,0,53,0003820A0000000,1,3,1,112,0,3,9,0,'HOKO RIVER',,'SR 112','11.7 E MAKAH RES',99.99,19.039,0,,,48162400,124211800,159,3,1,1,7,1950,2,0,1048,2019,6,8.2,0,30,0,1,1,1,1,5,0,0,0,A,1,5,1,5,1,20,1,2,6.7,36.6,64,0.2,0.2,6.7,7.3,99.99,N,0,N,0,0,6,6,6,7,N,8,24.9,8,19.1,5,3,N,5,8,8,35,1,64,1020,24,N  ,N  ,N  ,,,,1218,244,2436,2014,,,               ,0,N,2,,0,1,0,1,1,0,0,9,0,,Y,5,1312,2039,,N,53,F,6,467.2
0,0,,0003825A,#N/A,48.51872222,-122.4445,0,1,0,53,0003825A0000000,1,4,1,31010,0,1,57,99057,'JOE LEARY SL',,'FARM TO MARKET RD.','5.0 N JCT SR 20',99.99,0.001,0,,,48310740,122264020,2,3,2,2,7,1950,2,0,1905,2019,3,7.3,0,30,0,1,1,1,1,5,0,0,0,A,1,5,2,1,0,0,5,0,8.5,7,21.9,0,0,7.9,9.1,99.99,N,0,N,0,0,6,6,7,8,N,3,39.9,3,24.5,6,4,N,5,8,8,38,1,21.9,621,24,N  ,N  ,N  ,,,,374,75,749,2014,,,               ,0,N,2,,0,0,0,1,6,0,0,7,0,,Y,5,3440,2039,,N,53,F,6,199.29
